"","gene","beta","sd","pval","pval_anova","cov","varexp","singular","beta_norm"
"6030458C11Rik","6030458C11Rik",3.39317215463309,1.49356806126697,0.0342858145899489,0.0342858145899489,2.23074555363677,0,TRUE,0.0235963427553663
"6030469F06Rik","6030469F06Rik",0.027063252580188,0.0129570659777893,0.0497290459475899,0.0497290459475899,0.000167885558752784,0,TRUE,0.0110824651571955
"6330562C20Rik","6330562C20Rik",0.0947349727870961,0.0174673593028027,0.044436648704839,0.044436648704839,0.000305108641013207,0.00337404085151453,FALSE,0.0113340421703487
"6430550D23Rik","6430550D23Rik",0.370654764999202,0.0814949936025412,0.0215736536634529,0.0215736536634529,0.00664143398227824,0.000200243607372965,FALSE,0.0123598041427404
"6430571L13Rik","6430571L13Rik",0.0554193148986471,0.0231764059639824,0.0267396135941273,0.0267396135941273,0.00053714579340732,0,TRUE,0.0111878819168267
"6530411M01Rik","6530411M01Rik",0.0577723482904234,0.0230052605653918,0.0207284357464167,0.0207284357464167,0.000529242013681573,0,TRUE,0.0111966295755344
"6720475M21Rik","6720475M21Rik",0.352991977093634,0.100247475445583,0.00214703928287111,0.00214703928287111,0.0100495563332128,0,TRUE,0.0122941407990029
"6720489N17Rik","6720489N17Rik",0.331447257525416,0.083165331536178,0.00072795027550196,0.00072795027550196,0.00691647236952241,0,TRUE,0.0122140459502003
"8030451A03Rik","8030451A03Rik",0.0351827150791279,0.0160967045800895,0.040900975462448,0.040900975462448,0.000259103898338675,0,TRUE,0.0111126501461043
"8030456M14Rik","8030456M14Rik",0.103494944706153,0.0367329339746495,0.0106370553889999,0.0106370553889999,0.00134930843838596,0,TRUE,0.0113666083230042
"9130008F23Rik","9130008F23Rik",0.200765911896939,0.0357772929359668,1.71429771620631e-05,1.71429771620631e-05,0.00128001468982598,0,TRUE,0.0117282237706027
"9130024F11Rik","9130024F11Rik",0.0759229230809322,0.0320756560241958,0.0281326785072093,0.0281326785072093,0.00102884770938252,0,TRUE,0.0112641063203083
"9130208D14Rik","9130208D14Rik",0.0778982064552536,0.0352081719388551,0.038728070470377,0.038728070470377,0.00123961537127599,0,TRUE,0.0112714496520563
"9130213A22Rik","9130213A22Rik",0.0842854419446106,0.0262943056698555,0.00444048784924586,0.00444048784924586,0.000691390510659795,0,TRUE,0.0112951948978077
"9230112E08Rik","9230112E08Rik",0.311524470290212,0.147036027714726,0.0468300257133353,0.0468300257133353,0.0216195934461257,0,TRUE,0.0121399808120453
"9230116L04Rik","9230116L04Rik",0.131723889126747,0.0458409711033161,0.00939298198503975,0.00939298198503975,0.00210139463169506,0,TRUE,0.0114715525079618
"9330111N05Rik","9330111N05Rik",0.0578631446580538,0.0153424414998129,0.00119984879103978,0.00119984879103978,0.000235390511175181,0,TRUE,0.0111969671209509
"9330121K16Rik","9330121K16Rik",0.064005741171662,0.0287073483649559,0.0373977318015737,0.0373977318015737,0.000824111850146934,0,TRUE,0.011219802894582
"9330178D15Rik","9330178D15Rik",0.113302542633155,0.0396157012786995,0.00967851805872292,0.00967851805872292,0.00156940378780315,0,TRUE,0.0114030691397993
"9330188P03Rik","9330188P03Rik",0.11852381974946,0.036260192865496,0.00384249020995351,0.00384249020995351,0.00131480158664297,0,TRUE,0.0114224798079152
"9430025C20Rik","9430025C20Rik",0.302694411984413,0.0701193980998549,0.000335404880006406,0.000335404880006406,0.00491672998988594,0,TRUE,0.0121071541055899
"9430031K09Rik","9430031K09Rik",0.147364902687583,0.0521748153784936,0.0104745445207872,0.0104745445207872,0.0027222113597799,0,TRUE,0.0115296996846892
"9430037O13Rik","9430037O13Rik",0.0495069804948392,0.0194858140357771,0.0194629033634208,0.0194629033634208,0.000379696948636887,0,TRUE,0.0111659021677446
"9530026P05Rik","9530026P05Rik",0.0861716137145422,0.0358360593067219,0.0259954822767081,0.0259954822767081,0.00128422314663489,0,TRUE,0.0113022069474309
"9530082P21Rik","9530082P21Rik",0.369523311070787,0.110565891486522,0.00324658863573038,0.00324658863573038,0.0122248163602093,0,TRUE,0.0123555978391479
"9530085L11Rik","9530085L11Rik",0.31755796029832,0.0852275040001965,0.00133392105617147,0.00133392105617147,0.00726372743810351,0,TRUE,0.0121624109703222
"9630010A21Rik","9630010A21Rik",4.69996131155467,0.710268973211791,1.91451527654139e-06,1.91451527654139e-06,0.504482014307332,0,TRUE,0.028454474215807
"9630013D21Rik","9630013D21Rik",0.356073051449548,0.0711635068588655,6.81654242907785e-05,6.81654242907786e-05,0.00506424470845179,0,TRUE,0.0123055950295354
"9930004E17Rik","9930004E17Rik",0.0685045045404396,0.0216864639508741,0.00493825243938475,0.00493825243938475,0.00047030271869256,0,TRUE,0.0112365275389052
"9930120I10Rik","9930120I10Rik",0.162331940629173,0.0501928346599542,0.00415861081976187,0.00415861081976187,0.0025193206512015,0,TRUE,0.011585341283419
"A1bg","A1bg",0.0334883923580639,0.0109710252221244,0.00628657682999498,0.00628657682999498,0.000120363394424489,0,TRUE,0.0111063513162803
